codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint
64510;654;TENUTA GOCCIA;VIA DI CANOSSA 6;MONTEVEGLIO;558;FUORI BOLOGNA;44.488192, 11.084468
64510;658;TENUTA GOCCIA;VIA DI CANOSSA 6;MONTEVEGLIO;558;FUORI BOLOGNA;44.488192, 11.084468
64514;656;MONTEVEGLIO PONTE;VIALE DEI MARTIRI 44;MONTEVEGLIO;559;FUORI BOLOGNA;44.473058, 11.096754
64517;656;MONTEVEGLIO;VIALE DEI MARTIRI FR 8;MONTEVEGLIO;559;FUORI BOLOGNA;44.470904, 11.099832
64518;657;MONTEVEGLIO;VIALE DEI MARTIRI 10;MONTEVEGLIO;559;FUORI BOLOGNA;44.471188, 11.099604
64521;656;MONTEVEGLIO COSTITUZIONE;VIALE DELLA COSTITUZIONE 64;MONTEVEGLIO;559;FUORI BOLOGNA;44.467034, 11.102711
64521;657;MONTEVEGLIO COSTITUZIONE;VIALE DELLA COSTITUZIONE 64;MONTEVEGLIO;559;FUORI BOLOGNA;44.467034, 11.102711
64525;656;PONTE BARLETE;VIA ABE` FR 7;MONTEVEGLIO;560;FUORI BOLOGNA;44.460573, 11.101561
64526;657;PONTE BARLETE;VIA ABE` 7;MONTEVEGLIO;560;FUORI BOLOGNA;44.460513, 11.101911
64526;656;PONTE BARLETE;VIA ABE` 7;MONTEVEGLIO;560;FUORI BOLOGNA;44.460513, 11.101911
64529;657;VILLA MACCAFERRI;VIA ABE` 176;MONTEVEGLIO;560;FUORI BOLOGNA;44.455247, 11.10137
64530;657;VILLA MACCAFERRI;VIA ABE` FR 176;MONTEVEGLIO;560;FUORI BOLOGNA;44.455171, 11.101631
64534;657;BERSAGLIERA;VIA VALLE DEL SAMOGGIA 681;BERSAGLIERA;560;FUORI BOLOGNA;44.443076, 11.098935
64537;658;ZAPPOLINO;VIA VALLE DEL SAMOGGIA 2412;ZAPPOLINO;560;FUORI BOLOGNA;44.435239, 11.108933
64537;657;ZAPPOLINO;VIA VALLE DEL SAMOGGIA 2412;ZAPPOLINO;560;FUORI BOLOGNA;44.435239, 11.108933
64538;654;ZAPPOLINO;VIA VALLE DEL SAMOGGIA FR 2412;ZAPPOLINO;560;FUORI BOLOGNA;44.435282, 11.109047
64538;658;ZAPPOLINO;VIA VALLE DEL SAMOGGIA FR 2412;ZAPPOLINO;560;FUORI BOLOGNA;44.435282, 11.109047
64541;657;CA` TRENTI;VIA VALLE DEL SAMOGGIA 3124;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.429085, 11.108234
64542;658;CA` TRENTI;VIA VALLE DEL SAMOGGIA FR 3124;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.429025, 11.108584
64545;658;COZZANO;VIA VALLE DEL SAMOGGIA FR 3889;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.422989, 11.10392
64549;654;CASA BUCO;VIA VALLE DEL SAMOGGIA 4476;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.418962, 11.099152
64554;654;PONZANO;VIA VALLE DEL SAMOGGIA FR 4806;PONZANO;560;FUORI BOLOGNA;44.416129, 11.097531
64554;657;PONZANO;VIA VALLE DEL SAMOGGIA FR 4806;PONZANO;560;FUORI BOLOGNA;44.416129, 11.097531
64557;654;PONZANO CHIESA;VIA VALLE DEL SAMOGGIA 5246;PONZANO;560;FUORI BOLOGNA;44.412839, 11.093847
64557;657;PONZANO CHIESA;VIA VALLE DEL SAMOGGIA 5246;PONZANO;560;FUORI BOLOGNA;44.412839, 11.093847
64558;657;PONZANO CHIESA;VIA VALLE DEL SAMOGGIA FR 5246;PONZANO;560;FUORI BOLOGNA;44.41281, 11.093933
64562;657;PONZANO TINTORIA;VIA VALLE DEL SAMOGGIA FR 5894;TINTORIA;560;FUORI BOLOGNA;44.407853, 11.088833
64563;658;MOLINO SEGA;VIA VALLE DEL SAMOGGIA (SP 27) KM 20+530;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.404658, 11.083357
64563;657;MOLINO SEGA;VIA VALLE DEL SAMOGGIA (SP 27) KM 20+530;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.404658, 11.083357
64563;654;MOLINO SEGA;VIA VALLE DEL SAMOGGIA (SP 27) KM 20+530;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.404658, 11.083357
64564;658;MOLINO SEGA;VIA VALLE DEL SAMOGGIA (SP 27) FR KM 20+;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.404703, 11.083886
64565;684;PALAZZINA;VIA VALLE DEL SAMOGGIA 7126;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.399787, 11.077948
64565;658;PALAZZINA;VIA VALLE DEL SAMOGGIA 7126;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.399787, 11.077948
64566;684;PALAZZINA;VIA VALLE DEL SAMOGGIA FR 7126;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.399723, 11.078008
64566;658;PALAZZINA;VIA VALLE DEL SAMOGGIA FR 7126;CASTELLO DI SERRAVALLE;562;FUORI BOLOGNA;44.399723, 11.078008
64569;654;SAVIGNO PONTE;VIA VALLE DEL SAMOGGIA BV SAMOGGIA;SAVIGNO;562;FUORI BOLOGNA;44.397169, 11.075884
64570;657;SAVIGNO PONTE;VIA VALLE DEL SAMOGGIA FR BV SAMOGGIA;SAVIGNO;562;FUORI BOLOGNA;44.397105, 11.075944
64570;654;SAVIGNO PONTE;VIA VALLE DEL SAMOGGIA FR BV SAMOGGIA;SAVIGNO;562;FUORI BOLOGNA;44.397105, 11.075944
64574;654;SAVIGNO CARABINIERI;VIA DELLA LIBERTA` FR 55;SAVIGNO;562;FUORI BOLOGNA;44.39357, 11.075744
64574;658;SAVIGNO CARABINIERI;VIA DELLA LIBERTA` FR 55;SAVIGNO;562;FUORI BOLOGNA;44.39357, 11.075744
64575;658;SAVIGNO PIERANTONI;VIA PIERANTONI 20MT DOPO CIV 4;SAVIGNO;562;FUORI BOLOGNA;44.39219, 11.073448
64575;654;SAVIGNO PIERANTONI;VIA PIERANTONI 20MT DOPO CIV 4;SAVIGNO;562;FUORI BOLOGNA;44.39219, 11.073448
64576;654;SAVIGNO PIERANTONI;VIA PIERANTONI FR CV 4;SAVIGNO;562;FUORI BOLOGNA;44.391992, 11.073943
64576;657;SAVIGNO PIERANTONI;VIA PIERANTONI FR CV 4;SAVIGNO;562;FUORI BOLOGNA;44.391992, 11.073943
64582;657;SAVIGNO MARCONI;VIA MARCONI 81;SAVIGNO;562;FUORI BOLOGNA;44.386889, 11.073361
64582;654;SAVIGNO MARCONI;VIA MARCONI 81;SAVIGNO;562;FUORI BOLOGNA;44.386889, 11.073361
64584;684;SAVIGNO;VIA MARCONI 53;SAVIGNO;562;FUORI BOLOGNA;44.389306, 11.073609
64584;657;SAVIGNO;VIA MARCONI 53;SAVIGNO;562;FUORI BOLOGNA;44.389306, 11.073609
64585;654;RIVABENE;VIA SAN PROSPERO FR 105;SAVIGNO;562;FUORI BOLOGNA;44.378462, 11.070365
64585;657;RIVABENE;VIA SAN PROSPERO FR 105;SAVIGNO;562;FUORI BOLOGNA;44.378462, 11.070365
64586;654;RIVABENE;VIA SAN PROSPERO 105;SAVIGNO;562;FUORI BOLOGNA;44.378416, 11.070463
64589;658;PONTE CA` MARIO;VIA VALLE DEL SAMOGGIA 98;SAVIGNO;562;FUORI BOLOGNA;44.376093, 11.067959
64593;658;CA` ZANOLINO;VIA VALLE DEL SAMOGGIA ANG. SAN BIAGIO;SAVIGNO;562;FUORI BOLOGNA;44.372187, 11.064432
64594;657;CA` ZANOLINO;VIA VALLE DEL SAMOGGIA FR SAN BIAGIO;SAVIGNO;562;FUORI BOLOGNA;44.372097, 11.064442
64594;658;CA` ZANOLINO;VIA VALLE DEL SAMOGGIA FR SAN BIAGIO;SAVIGNO;562;FUORI BOLOGNA;44.372097, 11.064442
64594;654;CA` ZANOLINO;VIA VALLE DEL SAMOGGIA FR SAN BIAGIO;SAVIGNO;562;FUORI BOLOGNA;44.372097, 11.064442
64601;658;GOCCIA;VIA VALLE DEL SAMOGGIA 49/A;GOCCIA-CAVARA;562;FUORI BOLOGNA;44.366006, 11.053736
64602;657;GOCCIA;VIA VALLE DEL SAMOGGIA FR 49/A;GOCCIA-CAVARA;562;FUORI BOLOGNA;44.365934, 11.053746
64614;658;SPARATE DI SOPRA;VIA SAN PROSPERO FR 92;SAVIGNO;562;FUORI BOLOGNA;44.359202, 11.058129
66001;651;PONTE SAMOGGIA;VIA SAMOGGIA FR 91;PONTE SAMOGGIA;561;FUORI BOLOGNA;44.563065, 11.143366
66002;651;PONTE SAMOGGIA;VIA SAMOGGIA 90;PONTE SAMOGGIA;561;FUORI BOLOGNA;44.562919, 11.143449
66006;651;PONTE SAMOGGIA SANT`ALMAS;VIA SAMOGGIA 9;CRESPELLANO;561;FUORI BOLOGNA;44.557276, 11.139565
66009;651;CALCARA;VIA GARIBALDI FR 65;CALCARA;558;FUORI BOLOGNA;44.54949, 11.134647
66014;651;CALCARA CACIQUE;VIA GARIBALDI 5;CALCARA;561;FUORI BOLOGNA;44.546727, 11.133199
66502;656;BARISELLA;VIA FELICINA FR 112;MONTEVEGLIO;560;FUORI BOLOGNA;44.442002, 11.097113
66505;656;CASTELLETTO SERRAVALLE MO;VIA S. APOLLINARE 586;CASTELLETTO;560;FUORI BOLOGNA;44.441078, 11.074737
66506;657;CASTELLETTO SERRAVALLE MO;VIA S. APOLLINARE FR 548;CASTELLETTO;560;FUORI BOLOGNA;44.440996, 11.075312
