quartiere;tipologia;nome;anno;tipo;indirizzo;id;delibera;label1;label2;classific;nome_compl;isabella;faldone;sed_comm;nome_label;dati_anagr;url;geo_point_2d;geo_shape
Savena;Piazzale;Tina Merlin;2014-01-21;Piazze (4);via Firenze, via Mazzoni;52;Delibera di Giunta 21 gennaio 2014;Piazzale Tina Merlin;Merlin;Giornalista;Clementina Merlin detta Tina;SI;29 - Delibere del 2014;14 ottobre 2013;Tina Merlin;Trichiana (BL), 1926 - Belluno, 1991;https://drive.google.com/uc?export=download&id=1DKn4wDGwBaRW23pMw8T0VoWdZfZBWKQm;44.4710494471, 11.3857428506;"{""coordinates"": [[[[11.385845298842604, 44.471372811890426], [11.385789957293433, 44.47087788810785], [11.385661173821914, 44.47071020488563], [11.385617844707774, 44.47071218288587], [11.38575485901709, 44.47138767967163], [11.385845298842604, 44.471372811890426]]]], ""type"": ""MultiPolygon""}"
Porto - Saragozza;Piazzetta;Anna Magnani;2015-03-10;Piazze (4);via Azzo Gardino;46;Delibera di Giunta 10 marzo 2015;Piazzetta Anna Magnani;Magnani;Attrice;Anna Magnani;SI;30 - Delibere del 2014-2015;21 gennaio 2015;Anna Magnani;Roma, 1908-1973;https://drive.google.com/uc?export=download&id=1zbAkGtRq6u8Aq52sCzKY6_ZPrxo7d9D4;44.5018368036, 11.3345150889;"{""coordinates"": [[[[11.33422218624954, 44.50178596777826], [11.334248980394795, 44.50180685642907], [11.334257503333204, 44.50182025874909], [11.334276688402923, 44.50192562169914], [11.334287634404399, 44.50194969289946], [11.334313743392137, 44.50197217355143], [11.334423799232901, 44.501984063797146], [11.334517805924435, 44.501987856482025], [11.334897251461964, 44.50193864567226], [11.334747486451251, 44.50176378450721], [11.334305928354834, 44.501632766501125], [11.33422218624954, 44.50178596777826]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Rotonda;Madre Teresa di Calcutta;2008-02-19;Strade (74);via del Terrapieno;43;Delibera di Giunta 19 febbraio 2008;Rotonda Madre Teresa di Calcutta;Madre Teresa;Religiosa, benefattrice dell'umanita', Premio Nobel per la Pace;Anjezë Gonxhe Bojaxhiu;SI;23 - Delibere del 2008;5 novembre 2007;Madre Teresa di Calcutta;Skopje (Macedonia), 1910 - Calcutta (India), 1997;https://drive.google.com/uc?export=download&id=1yBIFzyVTmj07-ebiFOP_D0PJXKZTSRhT;44.501974737, 11.3811756802;"{""coordinates"": [[[[11.381004570098067, 44.502178605052464], [11.381070751821673, 44.50220926103088], [11.381138470760874, 44.5022376200059], [11.381168932121502, 44.502250084389786], [11.38119718486043, 44.50226140473782], [11.38122786202439, 44.5022710057573], [11.381255498223293, 44.502279479567775], [11.381282979293474, 44.50228648240696], [11.381307812100253, 44.502289107475], [11.381330640392681, 44.50229096283004], [11.38135693032076, 44.50229089093626], [11.38137885797312, 44.50228995624053], [11.381407700051163, 44.50228721122742], [11.38143548976532, 44.50228305902975], [11.381458935760376, 44.502278518379065], [11.381484972777978, 44.50227225876469], [11.3815118553332, 44.50226376276966], [11.38153277421656, 44.50225437037736], [11.381554952632047, 44.502243235719405], [11.381585857224445, 44.502224107190024], [11.38161511792288, 44.502200266183245], [11.38163515201577, 44.50218138987229], [11.381653316077704, 44.502157489321405], [11.381668141834679, 44.50213336120894], [11.381675215327622, 44.50211710443531], [11.38168120916534, 44.50209268543702], [11.381684357415267, 44.50207189624649], [11.381685335189593, 44.5020468676786], [11.381682993243082, 44.50202619311701], [11.381679728390887, 44.50200732576954], [11.381673945813114, 44.501990374210166], [11.381666171856155, 44.50197357796626], [11.381655215705962, 44.50195303655288], [11.38164756154323, 44.50194157252023], [11.381637229274288, 44.501929784175026], [11.3816261697844, 44.50191972532939], [11.381609602683367, 44.50190520831059], [11.381591177038457, 44.5018919960496], [11.381574221102397, 44.50188020202897], [11.381553717420987, 44.50186705292748], [11.381526667425428, 44.50185261244473], [11.381491523151036, 44.501835482097555], [11.381448267000845, 44.50181530509636], [11.381420309337274, 44.501803025884676], [11.381366600245212, 44.50177949557881], [11.381312365984181, 44.50175537949642], [11.381267636067138, 44.501735829357024], [11.381231063946306, 44.50172039579956], [11.381196504963103, 44.50170539713879], [11.381169379733521, 44.50169310103805], [11.381134272776128, 44.50168097099262], [11.381105304420347, 44.501672524959], [11.381082440031472, 44.50166787410645], [11.381051262900048, 44.50166233135982], [11.381030519399305, 44.501659667583084], [11.38101218166819, 44.50165886021569], [11.380992541275482, 44.501658793235556], [11.380961293760144, 44.50165968282156], [11.380936762676274, 44.501662101473364], [11.380918247865058, 44.50166510774749], [11.380887630382281, 44.50167170075239], [11.380865819612422, 44.501677157722995], [11.380844209421786, 44.50168427811627], [11.380819022666765, 44.501695046295985], [11.380801111420418, 44.50170470875852], [11.380784207921609, 44.5017145897504], [11.380766364535756, 44.50172591840436], [11.380754018850999, 44.50173332180474], [11.380740801986738, 44.5017438406958], [11.380728601698314, 44.50175481365238], [11.380716991770308, 44.50176636990199], [11.380704163497766, 44.501782357702965], [11.380696984496282, 44.50179133681447], [11.380691207247022, 44.50179984050865], [11.380687770254745, 44.50180717885693], [11.380681962444804, 44.50181943710391], [11.380677942125393, 44.501831906401804], [11.380673357293002, 44.501845350685535], [11.380668966448564, 44.50186008929615], [11.380666158807697, 44.501876941058676], [11.380666711382299, 44.5018905067002], [11.38066757666054, 44.50190551034773], [11.38067055221037, 44.50192748052286], [11.380675261251577, 44.501951200816535], [11.38068005810192, 44.50196691748137], [11.380685602504137, 44.50198049817571], [11.380694472323556, 44.50199400946769], [11.380705339957174, 44.50200744774477], [11.380718440216341, 44.50202265704092], [11.380732702143874, 44.50203575633817], [11.3807525729045, 44.50205380185361], [11.380764625853121, 44.502063674661926], [11.38078042817158, 44.502073764276496], [11.380807461794616, 44.50208886023471], [11.380849207561933, 44.50210871240227], [11.380878905262334, 44.50212084719196], [11.380943534529182, 44.50215094003178], [11.381004570098067, 44.502178605052464]]]], ""type"": ""MultiPolygon""}"
Savena;Rotonda;Orsola Mezzini;2002-03-05;Strade (74);viale Escriva', via Alberto Mario, viale Lungosavena;53;Delibera di Giunta 5 marzo 2002;Rotonda Orsola Mezzini;Mezzini;Religiosa;Orsola Mezzini;;17 - Delibere del 2002;4 luglio 2001;Orsola Mezzini;Campeggio di Monghidoro (Bologna), 1853 - Bologna, 1919;https://drive.google.com/uc?export=download&id=1ljfWcp8_xba8sKH3rffNtUthtQkEQoCc;44.4617506161, 11.3795845591;"{""coordinates"": [[[[11.379594744763777, 44.46200115712337], [11.379652187567292, 44.461996538895114], [11.379707785617576, 44.46198521250249], [11.379760022328085, 44.461967486904], [11.379807472805352, 44.46194384561357], [11.379848842717674, 44.46191493351076], [11.379883003601803, 44.46188153924948], [11.379909023644464, 44.46184457374475], [11.379926193099092, 44.461805045324645], [11.379934043644512, 44.46176403222505], [11.379932361157707, 44.461722653177944], [11.379921191552423, 44.461682036894985], [11.379900839524636, 44.46164329127941], [11.379871860239225, 44.461607473205596], [11.37983504418496, 44.46157555969088], [11.379791395610997, 44.46154842124569], [11.379742105133253, 44.46152679812909], [11.379688517257856, 44.46151128015722], [11.379632093707574, 44.46150229061529], [11.379574373551431, 44.46150007471195], [11.379516931224904, 44.461504692890934], [11.379461333585578, 44.46151601918235], [11.37940909717546, 44.46153374463863], [11.37936164685547, 44.46155738576125], [11.379320276940266, 44.46158629768886], [11.379286115893409, 44.46161969178652], [11.379260095545806, 44.461656657156944], [11.379242925677067, 44.46169618548663], [11.379235074653243, 44.46173719854946], [11.379236756649199, 44.461778577617444], [11.379247925804368, 44.461819193976694], [11.37926827747156, 44.461857939715664], [11.379297256524973, 44.46189375794662], [11.379334072500974, 44.461925671635214], [11.379377721158885, 44.46195281025216], [11.3794270118737, 44.46197443351977], [11.379480600113597, 44.46198995160557], [11.379537024116305, 44.46199894121197], [11.379594744763777, 44.46200115712337]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Passaggio;Alfonsina Morini;2015-09-01;Percorsi pedonali (4);Giardino Lunetta Gamberini;57;Delibera di Giunta 1 settembre 2015;Passaggio Alfonsina Morini;Morini;Ciclista;Alfonsa Rosa Maria Morini;SI;31 - Delibere del 2015-2016;27 maggio 2015;Alfonsina Morini;Castelfranco Emilia (MO), 1891 - Milano, 1959;https://drive.google.com/uc?export=download&id=1Q-oETUZSet-Z-UPdKhr_CAIVRedzIPwf;44.47982077, 11.3739465138;"{""coordinates"": [[[[11.374357458314718, 44.47878979653586], [11.374320631383519, 44.47879885754121], [11.37434469996143, 44.47901756390171], [11.374345049407681, 44.47901929073152], [11.374352758479795, 44.47904490939925], [11.374353664987165, 44.47904704936862], [11.374354390723182, 44.47904819582638], [11.374367090259192, 44.47906603517989], [11.374367885572331, 44.47906704282377], [11.374491383718153, 44.47920755825771], [11.374502610765488, 44.4792256859441], [11.374555018331282, 44.4794752432771], [11.37458910390185, 44.47964212744852], [11.374578516647965, 44.47965923611046], [11.374410590055854, 44.47981292931904], [11.374410045588593, 44.479813450553046], [11.374275659045319, 44.47994948627127], [11.374202227290608, 44.47999860850492], [11.374021165884654, 44.4800729772023], [11.373822148521969, 44.480147542893185], [11.373640689376296, 44.480217769173755], [11.373511206562677, 44.48025743615601], [11.373415178930712, 44.480288050701894], [11.373314947561623, 44.48031900153301], [11.373209790688579, 44.480319995314595], [11.373125330881692, 44.480318486406226], [11.37292924616654, 44.48031109107575], [11.372798041523609, 44.48030170685193], [11.37270508312653, 44.48028009540365], [11.37263738579013, 44.48024723351597], [11.372577926083553, 44.48020349782909], [11.37257742795909, 44.48020815169534], [11.37258647800636, 44.48024849180438], [11.372611707862912, 44.480267050425105], [11.372613523670811, 44.48026822257398], [11.372614638774388, 44.48026880818509], [11.372686133186255, 44.48030351422619], [11.372687763621622, 44.48030422208771], [11.372690837360967, 44.480305168066444], [11.372788325088013, 44.48032783039296], [11.372791414433149, 44.4803283474638], [11.372792272489141, 44.48032842357373], [11.372925941010166, 44.480337983478925], [11.372926823258236, 44.48033803161152], [11.37312360066954, 44.480345454294664], [11.37312412390487, 44.48034546868478], [11.373209211185726, 44.480346987617246], [11.373209928139325, 44.480346990833795], [11.373319352891924, 44.48034595661049], [11.373322766942122, 44.48034568063082], [11.373325913866964, 44.48034500635389], [11.373326420406453, 44.480344855152836], [11.373430412277699, 44.48031274637651], [11.37352629368084, 44.48028217771854], [11.373656298055298, 44.480242350412766], [11.373657848156203, 44.480241815949405], [11.373839864172037, 44.48017137255445], [11.374038988264642, 44.480096768896594], [11.374039629584784, 44.48009651598415], [11.374222884667688, 44.48002124443913], [11.374223399174356, 44.480021024934935], [11.374226035978317, 44.48001962002576], [11.374226373959353, 44.480019400349384], [11.374302814632149, 44.47996826543138], [11.374304730351392, 44.47996677442788], [11.374305335449842, 44.47996619643671], [11.374440557929487, 44.479829314694626], [11.374609658095052, 44.47967454753951], [11.374611401738743, 44.47967263702683], [11.374612045121745, 44.479671697789776], [11.374625782624289, 44.47964949871403], [11.374626442156956, 44.47964827671708], [11.3746271988482, 44.47964598838907], [11.374627390496707, 44.4796436387449], [11.374627201265827, 44.47964207781536], [11.374592315948355, 44.47947128164754], [11.374539521532533, 44.47921987410262], [11.37453934105329, 44.47921915256914], [11.374538399950575, 44.47921689793436], [11.374538113020117, 44.4792164088415], [11.374525295213804, 44.47919571476511], [11.374524063385591, 44.47919404971093], [11.374400296665359, 44.47905323385189], [11.374389104298496, 44.47903750933095], [11.374382191185171, 44.479014540639064], [11.374357458314718, 44.47878979653586]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Passaggio;Claudia Testoni;2015-09-01;Percorsi pedonali (4);Giardino Lunetta Gamberini;91;Delibera di Giunta 1 settembre 2015;Passaggio Claudia Testoni;Testoni;Campionessa di atletica leggera;Claudia Testoni;SI;31 - Delibere del 2015-2016;27 maggio 2015;Claudia Testoni;Bologna, 1915 - Cagliari, 1998;https://drive.google.com/uc?export=download&id=1mVGxyd0LMEoJcbewrfg64yU7IFy4UIiR;44.4795849954, 11.372124289;"{""coordinates"": [[[[11.370454469351923, 44.48033514386187], [11.370472067202996, 44.48035906414694], [11.370563403768378, 44.48032902807914], [11.370870338555532, 44.48022684223216], [11.370870791900328, 44.48022668500458], [11.371008473035499, 44.48017760701276], [11.371009136830862, 44.48017735914483], [11.371110903285043, 44.480137394172644], [11.371264587819496, 44.480075340097365], [11.37126522313884, 44.48007507139086], [11.371266683141437, 44.48007435860923], [11.37144181677757, 44.479979746747674], [11.371442993628865, 44.479979054136166], [11.371444472889943, 44.4799780024831], [11.37152118499366, 44.47991701577138], [11.37161710342826, 44.47984337889122], [11.371716535471172, 44.47978160045246], [11.371821096008512, 44.47972623136847], [11.371992239518413, 44.47964898276182], [11.371992665880867, 44.479648784881164], [11.37224512277371, 44.47952791559423], [11.372247174117545, 44.47952677785634], [11.372249535199547, 44.47952496992663], [11.372279271253328, 44.47949701468458], [11.372280888363193, 44.47949521837971], [11.372323897208188, 44.47943750295201], [11.372354665285092, 44.47941298838989], [11.372525907338893, 44.47935035702546], [11.372526474212656, 44.47935014193438], [11.372653947585913, 44.4792995275151], [11.373296881981503, 44.47904819133199], [11.373544916049115, 44.47895480187854], [11.373545297585954, 44.47895465327746], [11.373642036690029, 44.47891616979819], [11.37364265556128, 44.4789159124099], [11.37376654242668, 44.4788621251497], [11.373769237955134, 44.47886069320414], [11.373771098877011, 44.47885932752817], [11.373805953957012, 44.47882983071694], [11.373771418723882, 44.47881726172359], [11.373744300241903, 44.478840211682], [11.373623402957572, 44.47889270151983], [11.37352712608306, 44.47893100063672], [11.373279021028882, 44.47902441680386], [11.372635769489497, 44.479275876518834], [11.37250849635061, 44.479326412575986], [11.372334397931663, 44.479390086854835], [11.372333076418478, 44.479390618194806], [11.372330439617224, 44.47939202360976], [11.372328948474044, 44.4793930843129], [11.37229431976601, 44.47942067647208], [11.372293556404049, 44.47942132642672], [11.372291730868824, 44.479423319927555], [11.372248349161081, 44.47948153101982], [11.372221549543255, 44.4795067262298], [11.371971934698431, 44.479626234692674], [11.371800390966307, 44.479703662473256], [11.371799235143644, 44.47970422992328], [11.37169352509102, 44.47976020806435], [11.371692379773593, 44.479760864307785], [11.371591541900083, 44.47982351757557], [11.371590198999966, 44.47982444936012], [11.371493336895014, 44.47989881354354], [11.37141765984374, 44.47995897980121], [11.371244976750297, 44.48005226593377], [11.371092576709596, 44.48011380151489], [11.370991362533404, 44.48015355004239], [11.370854274599521, 44.480202417328904], [11.370547585313567, 44.48030452275483], [11.370454469351923, 44.48033514386187]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Giardino;Aurelia Zama;2015-09-01;Aree verdi (40);via Terrapieno;100;Delibera di Giunta 1 settembre 2015;Giardino Aurelia Zama;Zama;Partigiana;Aurelia Zama;SI;31 - Delibere del 2015-2016;27 maggio 2015;Aurelia Zama;Modena, 1903 - Bologna, 1987;https://drive.google.com/uc?export=download&id=17TYxIjZnYendX_IghgShbNzHRzivPnEJ;44.5074579499, 11.388808439;"{""coordinates"": [[[[11.389018324926413, 44.50789298537966], [11.389192851123918, 44.50786518572393], [11.389244042521547, 44.50785509358243], [11.389026213228446, 44.5075113349176], [11.389026020688881, 44.50751092630542], [11.389025659180746, 44.50751046024192], [11.389005305546382, 44.50748426296818], [11.388924225371863, 44.507350385553245], [11.388902080606911, 44.50731337283296], [11.389347834345504, 44.507179350632846], [11.389372168251793, 44.507173282589704], [11.38845691649607, 44.507045459586585], [11.388443531973243, 44.50709969847804], [11.38844598351229, 44.50710243785572], [11.3884368045521, 44.507138797716316], [11.388413470223457, 44.50725475975217], [11.388416585639776, 44.50733098047877], [11.388436212182267, 44.507365921807164], [11.388547955193406, 44.5075552260876], [11.388696662810172, 44.507821903726956], [11.388738731710784, 44.507855465689445], [11.388788220674979, 44.507885393618984], [11.388855463440994, 44.50790185005183], [11.388898891755918, 44.50790570439561], [11.388946873772463, 44.50790436656411], [11.388990007136805, 44.50789749444492], [11.389018324926413, 44.50789298537966]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Giardino;Norma Cossetto;2013-03-12;Aree verdi (40);via Guelfa;21;Delibera di Giunta 12 marzo 2013;Giardino Norma Cossetto;Cossetto;Studentessa, vittima delle foibe;Norma Cossetto;;28 - Delibere del 2013;28 novembre 2012;Norma Cossetto;Visinada (Croazia), 1920 - Antignana (Croazia), 1943;https://drive.google.com/uc?export=download&id=1WHhhkOY82A3710YOlnmIkeZ27hX00rwZ;44.492268547, 11.3894894664;"{""coordinates"": [[[[11.390383387697504, 44.492554076677145], [11.390345492136607, 44.4924832402697], [11.390044685681369, 44.49246844168063], [11.390041118425028, 44.49243125745999], [11.390063017741776, 44.49242869033983], [11.390085234438894, 44.492423408820905], [11.390104104249323, 44.49241859688196], [11.390116136742016, 44.49241265839565], [11.390128558286552, 44.492406528785736], [11.390136100867318, 44.4924028058431], [11.390154486545196, 44.492389042877484], [11.390170226735403, 44.492376269973754], [11.390180282170173, 44.49236160900048], [11.390189249835139, 44.49234777358153], [11.390205362948935, 44.492290587604074], [11.390197709791892, 44.492233580923525], [11.39016690078572, 44.49216372345963], [11.390111137498767, 44.492102010424205], [11.390058021972523, 44.49206623359721], [11.39000394778724, 44.492036411011796], [11.389952554549854, 44.49201341368352], [11.389913023952746, 44.49198672707327], [11.389873282644082, 44.49195488432399], [11.389817311857804, 44.49187867246088], [11.389735512267897, 44.491758289261774], [11.389688793837488, 44.49167328223559], [11.38967370412851, 44.4915979336892], [11.38968692324244, 44.49150995395738], [11.389706437760163, 44.491443258691426], [11.389698764002002, 44.49138411719493], [11.389672497825865, 44.49134458699118], [11.389658596338297, 44.491336776403514], [11.389643448617457, 44.491332412317306], [11.389629991346602, 44.491332334329655], [11.38960673654653, 44.49133264125553], [11.389524388337255, 44.49134264830429], [11.389481026129838, 44.491349408388494], [11.389417851458441, 44.49136012803571], [11.3896661214163, 44.49200582793331], [11.3890099590721, 44.49212203480609], [11.389024444491444, 44.49219472845677], [11.388575660123873, 44.49225959518019], [11.388575122882227, 44.492260067427544], [11.388669361327718, 44.49263323763565], [11.389148720125513, 44.49257580507231], [11.38918605617501, 44.49272822714963], [11.390383387697504, 44.492554076677145]]]], ""type"": ""MultiPolygon""}"
Savena;Giardino;Renata Vigano';1977-07-29;Aree verdi (40);via degli Ortolani;98;Delibera del Consiglio Comunale 29 luglio 1977;Giardino Renata Vigano';Vigano';Scrittrice e partigiana;Renata Vigano';SI;6 - Delibere dal 1977 al 1979;8 luglio 1977;Renata Vigano';Bologna, 1900-1976;https://drive.google.com/uc?export=download&id=1moRdGBv3CHoQouwzJuHDG9otUQb6qcOP;44.4719021056, 11.3857941728;"{""coordinates"": [[[[11.385547960159276, 44.472500644058776], [11.385721023350548, 44.47243058734578], [11.385721884592364, 44.472431679293585], [11.386118580105306, 44.4722712116424], [11.386218194704762, 44.472235189020104], [11.386218241267395, 44.47223525545606], [11.386245330828443, 44.472225438640905], [11.386325961288618, 44.47219251376247], [11.386349180997994, 44.472173032815924], [11.386377749664486, 44.472078180198], [11.38635711575156, 44.4719294223623], [11.386320894889392, 44.47173442873576], [11.38632096416134, 44.47173442066087], [11.386295481334345, 44.47162086870327], [11.386276237841617, 44.471565186448636], [11.3862501343887, 44.47151702937072], [11.386189696208785, 44.47142671344327], [11.386172533532488, 44.471402251753965], [11.386167888811189, 44.47139316646348], [11.386130724077269, 44.47138206069476], [11.386121753420783, 44.47138404881812], [11.385942025179075, 44.47145019461625], [11.385876643365778, 44.47146857650543], [11.38584954490364, 44.471476165145944], [11.385635483963005, 44.471511250485236], [11.38529874729854, 44.47156006853659], [11.385149514878735, 44.47158109836609], [11.385089545774758, 44.47159038785238], [11.38508880178652, 44.471615316577534], [11.385444705578376, 44.472259288280085], [11.385448931802774, 44.47227351386183], [11.385460198801425, 44.47230316621569], [11.385547960159276, 44.472500644058776]]]], ""type"": ""MultiPolygon""}"
Borgo Panigale - Reno;Giardino;Sorelle Mirabal;2012-05-08;Aree verdi (40);via Salvemini;54;Delibera di Giunta 8 maggio 2012;Giardino Sorelle Mirabal;Mirabal;Attiviste contro la dittatura;Patria Mercedes, Maria Argentina Minerva, Antonia Maria Teresa;;27 - Delibere del 2012;1 marzo 2012;Sorelle Mirabal;Tre sorelle nate a Ojo de Agua e morte a Salcedo nella Repubblica Dominicana: Patria Mercedes 1924-1960, Maria Argentina 1926-1960, Antonia Maria Teresa 1935-1960;https://drive.google.com/uc?export=download&id=1bIbAdUwdmVxEs8tUkPWUWZgXXHpNJ_zu;44.5024363175, 11.2768392691;"{""coordinates"": [[[[11.278029248858559, 44.502855524372585], [11.277578500285886, 44.50256804334022], [11.275815580754234, 44.501456918443594], [11.275668094083677, 44.50158242245814], [11.275803495413268, 44.50181264851423], [11.275917066033646, 44.50178732560089], [11.276297723179432, 44.50246122338027], [11.276422678433372, 44.50252800853619], [11.27682009436243, 44.50254519326492], [11.276876268403004, 44.503267051681306], [11.277954576942584, 44.50293518843266], [11.278013785747216, 44.50291417929554], [11.278032283839005, 44.50289665132703], [11.278036673896022, 44.502886268962264], [11.278032677400606, 44.502865758288785], [11.278029248858559, 44.502855524372585]], [[11.277354663090312, 44.50276828681659], [11.277078727043842, 44.502852052884336], [11.276960223766682, 44.5026516850283], [11.277243462527165, 44.50256663002886], [11.277354663090312, 44.50276828681659]]]], ""type"": ""MultiPolygon""}"
